log_best21_v11.txt:val6.csv val accuracy = 0.9647;best21_v11_val6_0,9647
log_best21_v11.txt:val7.csv val accuracy = 0.96318;best21_v11_val7_0,96318
log_best21_v12.txt:val0.csv val accuracy = 0.86426;best21_v12_val0_0,86426
log_best21_v12.txt:val1.csv val accuracy = 0.38616;best21_v12_val1_0,38616
log_best21_v12.txt:val2.csv val accuracy = 0.84342;best21_v12_val2_0,84342
log_best21_v12.txt:val3.csv val accuracy = 0.90203;best21_v12_val3_0,90203
log_best21_v12.txt:val4.csv val accuracy = 0.90646;best21_v12_val4_0,90646
log_best21_v12.txt:val5.csv val accuracy = 0.88627;best21_v12_val5_0,88627
log_best21_v12.txt:val6.csv val accuracy = 0.92592;best21_v12_val6_0,92592
log_best21_v12.txt:val7.csv val accuracy = 0.89258;best21_v12_val7_0,89258
log_best21_v13.txt:val0.csv val accuracy = 0.96354;best21_v13_val0_0,96354
log_best21_v13.txt:val1.csv val accuracy = 0.97051;best21_v13_val1_0,97051
log_best21_v13.txt:val2.csv val accuracy = 0.97001;best21_v13_val2_0,97001
log_best21_v13.txt:val3.csv val accuracy = 0.96456;best21_v13_val3_0,96456
log_best21_v13.txt:val4.csv val accuracy = 0.96964;best21_v13_val4_0,96964
log_best21_v13.txt:val5.csv val accuracy = 0.82257;best21_v13_val5_0,82257
log_best21_v13.txt:val6.csv val accuracy = 0.76149;best21_v13_val6_0,76149
log_best21_v13.txt:val7.csv val accuracy = 0.96993;best21_v13_val7_0,96993
log_best21_v14.txt:val0.csv val accuracy = 0.96347;best21_v14_val0_0,96347
log_best21_v14.txt:val1.csv val accuracy = 0.76774;best21_v14_val1_0,76774
log_best21_v14.txt:val2.csv val accuracy = 0.75786;best21_v14_val2_0,75786
log_best21_v14.txt:val3.csv val accuracy = 0.96347;best21_v14_val3_0,96347
log_best21_v14.txt:val4.csv val accuracy = 0.75365;best21_v14_val4_0,75365
log_best21_v14.txt:val5.csv val accuracy = 0.96282;best21_v14_val5_0,96282
log_best21_v14.txt:val6.csv val accuracy = 0.96812;best21_v14_val6_0,96812
log_best21_v14.txt:val7.csv val accuracy = 0.96463;best21_v14_val7_0,96463
log_best21_v15.txt:val0.csv val accuracy = 0.95613;best21_v15_val0_0,95613
log_best21_v15.txt:val1.csv val accuracy = 0.96114;best21_v15_val1_0,96114
log_best21_v15.txt:val2.csv val accuracy = 0.95911;best21_v15_val2_0,95911
log_best21_v15.txt:val3.csv val accuracy = 0.95933;best21_v15_val3_0,95933
log_best21_v15.txt:val4.csv val accuracy = 0.95911;best21_v15_val4_0,95911
log_best21_v15.txt:val5.csv val accuracy = 0.96064;best21_v15_val5_0,96064
log_best21_v15.txt:val6.csv val accuracy = 0.95897;best21_v15_val6_0,95897
log_best21_v15.txt:val7.csv val accuracy = 0.95795;best21_v15_val7_0,95795
